vin,production_date,assembly_plant,fuel_pump_supplier,engine_series,model_year
1FAHP3DUWEA534624,2024-06-04,MAP,Gamma_Tech,V8_Coyote,2025
1FAHP3NGQIW799118,2024-06-22,DTP,Supplier_Beta,I4_Hybrid,2024
1FAHP3ITTNZ135427,2023-06-02,DTP,Supplier_Beta,V8_Coyote,2023
1FAHP3QHGVJ808412,2024-03-28,KCAP,Gamma_Tech,V8_Coyote,2025
1FAHP3NROQG244935,2024-10-19,MAP,Gamma_Tech,V6_EcoBoost,2024
1FAHP3CAVXI740164,2023-10-04,KCAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3AHESJ427868,2024-01-21,KCAP,Supplier_Beta,V8_Coyote,2025
1FAHP3BICTX805982,2023-08-18,OHAP,Supplier_Alpha,I4_Hybrid,2024
1FAHP3XJANV053315,2023-05-03,OHAP,Gamma_Tech,V6_EcoBoost,2025
1FAHP3LVVYA232260,2023-11-20,OHAP,Supplier_Beta,I4_Hybrid,2023
1FAHP3EOMDW342160,2024-04-14,DTP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3VREXR433036,2022-12-16,MAP,Supplier_Beta,V8_Coyote,2025
1FAHP3HQLLQ586850,2023-01-31,MAP,Supplier_Beta,V8_Coyote,2024
1FAHP3BMGHY019655,2024-10-17,MAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3HZIRU934060,2023-12-28,MAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3UQHUT356159,2023-02-04,OHAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3JIMAQ846564,2023-05-10,DTP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3JATSN629946,2023-01-21,DTP,Supplier_Beta,V8_Coyote,2023
1FAHP3CRNGE699577,2024-04-17,OHAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3FWPRT214895,2023-03-31,DTP,Gamma_Tech,V8_Coyote,2025
1FAHP3ENXED332003,2024-12-09,OHAP,Supplier_Beta,I4_Hybrid,2024
1FAHP3PJPSA693676,2023-05-19,MAP,Supplier_Beta,I4_Hybrid,2024
1FAHP3DJPHD163287,2023-03-19,OHAP,Gamma_Tech,I4_Hybrid,2023
1FAHP3WCNUG278895,2023-02-21,MAP,Supplier_Beta,V8_Coyote,2023
1FAHP3QWPOR687277,2023-04-25,MAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3TSPRV873471,2024-03-16,KCAP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3YSJTN581223,2024-02-11,OHAP,Supplier_Beta,I4_Hybrid,2023
1FAHP3ADNAY166587,2024-09-17,KCAP,Supplier_Beta,I4_Hybrid,2023
1FAHP3WTWYA909670,2024-08-20,OHAP,Supplier_Beta,I4_Hybrid,2023
1FAHP3RBFBY889373,2024-12-04,OHAP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3IBZLK562729,2023-05-19,KCAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3DQYUN016272,2023-06-13,KCAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3QFEBV755646,2024-01-10,OHAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3WBPMB805310,2023-02-10,DTP,Supplier_Beta,V8_Coyote,2023
1FAHP3KNDSQ923271,2023-11-08,MAP,Supplier_Alpha,I4_Hybrid,2025
1FAHP3TGLBT529912,2024-06-27,KCAP,Supplier_Beta,V8_Coyote,2024
1FAHP3SOPGS966319,2023-12-09,MAP,Gamma_Tech,V6_EcoBoost,2024
1FAHP3IBQXE491905,2023-08-10,DTP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3BXODT850671,2023-04-18,DTP,Supplier_Beta,V8_Coyote,2025
1FAHP3ZIXED262849,2024-06-24,DTP,Supplier_Beta,I4_Hybrid,2024
1FAHP3RCPWD694531,2023-05-14,KCAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3ULFNW996507,2023-06-20,DTP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3AHMFP454948,2023-11-06,KCAP,Gamma_Tech,I4_Hybrid,2024
1FAHP3CYBFS678377,2023-04-28,DTP,Gamma_Tech,V8_Coyote,2024
1FAHP3EJHWB363495,2024-03-26,MAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3QOHUM855744,2023-06-23,MAP,Gamma_Tech,V6_EcoBoost,2025
1FAHP3VERUL518233,2023-08-04,OHAP,Supplier_Beta,V8_Coyote,2025
1FAHP3OXLTA894134,2023-07-21,MAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3SSIOW824008,2024-03-03,OHAP,Supplier_Beta,V8_Coyote,2023
1FAHP3ECVLD710947,2023-11-25,MAP,Gamma_Tech,V6_EcoBoost,2024
1FAHP3EKORD471167,2024-04-18,KCAP,Supplier_Beta,I4_Hybrid,2023
1FAHP3HJWAM229413,2023-05-17,MAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3CTLBT993867,2023-07-11,OHAP,Supplier_Beta,V8_Coyote,2025
1FAHP3ONQQF990913,2024-10-11,OHAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3AACSM232812,2024-08-09,DTP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3SDERO740344,2023-12-20,KCAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3OPJRJ493618,2023-02-12,MAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3SCHDS102499,2023-09-17,DTP,Supplier_Alpha,V8_Coyote,2025
1FAHP3CFMCB464887,2023-10-17,MAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3RKLBW594013,2023-10-01,MAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3PCRLL490278,2023-04-21,DTP,Supplier_Alpha,V8_Coyote,2023
1FAHP3VUQGK671756,2023-12-12,DTP,Supplier_Alpha,I4_Hybrid,2025
1FAHP3CDFUQ567468,2023-11-19,DTP,Gamma_Tech,I4_Hybrid,2023
1FAHP3DADMH516808,2023-11-05,DTP,Supplier_Beta,V8_Coyote,2023
1FAHP3RJISC597703,2024-01-08,DTP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3TJAJA710932,2024-03-29,MAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3FTSGT131712,2024-07-04,DTP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3JJYMM467737,2023-11-13,KCAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3YGRAS821465,2024-07-24,OHAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3IEWVJ499727,2023-04-12,DTP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3KYOXA867533,2024-09-08,DTP,Supplier_Alpha,V8_Coyote,2024
1FAHP3FCIGL057662,2024-08-19,MAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3AUJAP517187,2023-12-21,DTP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3SZPFV217459,2022-12-27,DTP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3NEPOR865780,2024-07-25,DTP,Supplier_Alpha,I4_Hybrid,2025
1FAHP3CKSTB431611,2023-10-04,MAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3BJPHA050455,2023-11-08,DTP,Supplier_Beta,V6_EcoBoost,2024
1FAHP3YNRPF922219,2024-10-05,OHAP,Supplier_Beta,I4_Hybrid,2025
1FAHP3QQAZD923747,2023-02-14,MAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3LTOBS482175,2024-07-23,OHAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3GPYKW474367,2024-11-15,MAP,Supplier_Beta,V8_Coyote,2025
1FAHP3AKRXV944064,2024-11-26,DTP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3ZWOOM097439,2023-08-02,OHAP,Gamma_Tech,I4_Hybrid,2023
1FAHP3YCCLX942104,2024-03-18,MAP,Gamma_Tech,I4_Hybrid,2024
1FAHP3MIYIX214562,2024-02-02,KCAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3ZSVVZ884247,2023-04-09,DTP,Supplier_Alpha,I4_Hybrid,2025
1FAHP3ZJXFY171236,2024-02-14,MAP,Gamma_Tech,V8_Coyote,2024
1FAHP3XRVRQ604817,2024-06-28,KCAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3BNJUN965137,2023-04-27,MAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3ICCTF317461,2023-06-29,KCAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3DXQVS113826,2023-10-03,DTP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3FNARC869261,2023-12-07,OHAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3GRXIP537735,2023-08-06,KCAP,Supplier_Beta,V8_Coyote,2024
1FAHP3DFQNP506431,2023-11-29,MAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3YKNEW900532,2023-07-19,DTP,Supplier_Beta,V8_Coyote,2025
1FAHP3XJYMA839335,2023-09-29,KCAP,Supplier_Beta,I4_Hybrid,2024
1FAHP3HQBIA422842,2024-02-21,MAP,Supplier_Alpha,I4_Hybrid,2024
1FAHP3QDIVA539502,2024-03-26,MAP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3GLGCG811775,2023-12-20,MAP,Supplier_Beta,V8_Coyote,2025
1FAHP3PBDEZ390847,2023-02-05,KCAP,Gamma_Tech,I4_Hybrid,2025
1FAHP3UMJEI617711,2023-08-27,KCAP,Supplier_Beta,V8_Coyote,2023
1FAHP3MHSDG499856,2023-03-28,KCAP,Supplier_Beta,V8_Coyote,2023
1FAHP3BCOAV961183,2024-06-19,OHAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3UQQXJ766156,2023-12-11,KCAP,Supplier_Beta,I4_Hybrid,2024
1FAHP3GVVXZ711116,2023-05-13,KCAP,Supplier_Beta,V6_EcoBoost,2024
1FAHP3VQHAW280988,2023-04-11,KCAP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3GKGNJ604945,2024-11-22,OHAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3HWRKO731585,2023-05-08,KCAP,Supplier_Alpha,I4_Hybrid,2024
1FAHP3MQSRB689980,2022-12-15,MAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3LJKQZ244550,2022-12-21,KCAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3YADVK120183,2024-10-11,MAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3DJKWN545991,2024-01-04,MAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3MCARN014767,2024-07-01,MAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3RRLFH815614,2024-06-27,OHAP,Gamma_Tech,I4_Hybrid,2025
1FAHP3ANTNX403690,2023-09-28,OHAP,Supplier_Beta,V6_EcoBoost,2024
1FAHP3FVBLI244510,2023-12-28,OHAP,Supplier_Beta,V8_Coyote,2023
1FAHP3EZVCB683885,2023-10-22,KCAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3KZTOA071596,2024-11-30,MAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3ZNDSX416052,2023-10-30,OHAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3ZHFZT161369,2023-10-14,OHAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3OHHGM535218,2024-07-10,KCAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3QMLMJ552312,2023-09-27,OHAP,Supplier_Beta,I4_Hybrid,2024
1FAHP3CRKPO127799,2023-10-06,KCAP,Supplier_Beta,V8_Coyote,2025
1FAHP3ECOTY955271,2023-12-27,DTP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3TDCCD490581,2023-08-08,OHAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3GYDLJ541199,2024-04-22,DTP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3EGJDC079359,2024-03-12,KCAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3PTCCH151820,2023-02-05,MAP,Supplier_Beta,V8_Coyote,2024
1FAHP3YAXVR892554,2023-10-25,OHAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3JRYSQ905151,2024-10-29,KCAP,Gamma_Tech,I4_Hybrid,2024
1FAHP3WTPSQ925192,2023-01-11,MAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3YPYVI629148,2024-11-26,MAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3XTLNV816850,2023-03-18,DTP,Supplier_Alpha,V8_Coyote,2025
1FAHP3SYGGX733221,2023-10-06,KCAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3MYJKL880592,2024-12-05,MAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3RUPCN927065,2024-02-24,OHAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3ZYEMX473834,2023-04-17,OHAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3HAKMZ977468,2023-05-11,DTP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3JGTHH924075,2024-07-26,MAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3JBFOC412478,2023-11-15,KCAP,Gamma_Tech,V8_Coyote,2024
1FAHP3XPYFX506068,2023-06-28,OHAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3ICSES305152,2024-08-02,MAP,Supplier_Beta,I4_Hybrid,2025
1FAHP3BQNJJ277901,2024-11-20,MAP,Supplier_Beta,V8_Coyote,2024
1FAHP3THDPA986143,2024-07-17,DTP,Gamma_Tech,V8_Coyote,2024
1FAHP3IBOGK971179,2024-06-24,OHAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3WPKAL324609,2023-09-08,OHAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3GYGJB185188,2024-01-11,KCAP,Gamma_Tech,V8_Coyote,2023
1FAHP3VBWYE670654,2024-06-14,OHAP,Gamma_Tech,I4_Hybrid,2023
1FAHP3CWIVP531952,2023-12-26,KCAP,Gamma_Tech,V8_Coyote,2023
1FAHP3TXDCS277221,2024-04-18,OHAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3GZIEQ303054,2024-05-29,DTP,Supplier_Alpha,V8_Coyote,2023
1FAHP3RHZXB034505,2023-09-23,OHAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3SFXZH676527,2024-06-04,KCAP,Gamma_Tech,V6_EcoBoost,2025
1FAHP3LISUG416169,2023-01-25,KCAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3TBKSC154479,2024-04-30,DTP,Supplier_Beta,I4_Hybrid,2025
1FAHP3ROYDE570596,2023-10-07,OHAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3MRYCC658202,2024-11-30,OHAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3KCMJR213556,2023-11-06,DTP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3IHXZU755719,2024-07-05,OHAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3HYJHQ431027,2023-06-21,OHAP,Supplier_Beta,V8_Coyote,2024
1FAHP3MHIEC473947,2023-06-18,KCAP,Supplier_Beta,V8_Coyote,2025
1FAHP3JISTK271551,2023-12-18,OHAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3YIPYF258313,2023-01-07,OHAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3ZJINF058957,2024-11-26,DTP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3XAKEI146786,2024-09-03,DTP,Supplier_Alpha,I4_Hybrid,2024
1FAHP3IXJOL517785,2023-09-18,MAP,Supplier_Beta,V8_Coyote,2023
1FAHP3HJTKK226801,2024-04-15,KCAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3QMOJR535841,2024-06-12,OHAP,Supplier_Beta,I4_Hybrid,2025
1FAHP3PKLLJ249818,2024-05-20,OHAP,Supplier_Beta,I4_Hybrid,2023
1FAHP3BFCPX299590,2023-01-02,MAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3OBFOI943969,2024-06-05,OHAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3DESDK447364,2024-05-12,KCAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3MJUTU767735,2024-04-26,MAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3GUPDH562588,2023-04-05,KCAP,Gamma_Tech,V8_Coyote,2023
1FAHP3SYNAP473210,2023-07-02,MAP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3FGDFT259532,2024-03-26,MAP,Gamma_Tech,V8_Coyote,2025
1FAHP3PNLWD701687,2023-11-30,DTP,Supplier_Alpha,V8_Coyote,2024
1FAHP3IAGBI047974,2024-05-23,KCAP,Supplier_Beta,V8_Coyote,2023
1FAHP3DKJMX456506,2023-04-05,OHAP,Supplier_Beta,I4_Hybrid,2023
1FAHP3WJRNR841687,2023-06-27,OHAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3YVJXW912165,2023-06-22,KCAP,Supplier_Beta,V6_EcoBoost,2024
1FAHP3CCCIT239868,2024-03-23,OHAP,Supplier_Beta,V8_Coyote,2025
1FAHP3GIUNU578729,2024-03-05,OHAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3GGIFT269495,2024-05-09,KCAP,Gamma_Tech,V6_EcoBoost,2023
1FAHP3RHALT947055,2024-09-25,MAP,Gamma_Tech,V8_Coyote,2025
1FAHP3OUDLE097499,2023-04-16,KCAP,Gamma_Tech,V6_EcoBoost,2025
1FAHP3CKSHM289623,2022-12-21,MAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3SNAGX075626,2023-03-12,OHAP,Supplier_Beta,V8_Coyote,2025
1FAHP3JUQEH970283,2024-08-01,OHAP,Gamma_Tech,V6_EcoBoost,2024
1FAHP3IWRXU652785,2023-02-21,OHAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3JTOTX497334,2024-04-25,DTP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3JYURS437575,2024-06-16,MAP,Supplier_Beta,V6_EcoBoost,2024
1FAHP3XZJSC198665,2024-11-23,DTP,Supplier_Beta,V8_Coyote,2023
1FAHP3NMIRJ415747,2023-10-06,DTP,Gamma_Tech,I4_Hybrid,2025
1FAHP3PDQHO421993,2023-10-16,KCAP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3GRXIA301657,2024-06-12,DTP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3WSUSP826773,2024-03-11,KCAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3LALCZ019380,2024-11-10,KCAP,Supplier_Alpha,I4_Hybrid,2025
1FAHP3KMGVS724004,2023-02-12,DTP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3DRMZH788728,2024-01-18,MAP,Gamma_Tech,V8_Coyote,2023
1FAHP3VVYSK527420,2024-11-17,MAP,Supplier_Beta,I4_Hybrid,2024
1FAHP3UFZQG329668,2023-05-07,MAP,Supplier_Beta,V8_Coyote,2025
1FAHP3QYPCW227530,2024-10-22,MAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3QPXSP454990,2023-11-05,MAP,Gamma_Tech,I4_Hybrid,2023
1FAHP3RGTXT017426,2023-04-19,DTP,Supplier_Alpha,V8_Coyote,2025
1FAHP3IEJDV145933,2024-09-16,DTP,Gamma_Tech,I4_Hybrid,2024
1FAHP3ZQNWP956878,2023-11-08,OHAP,Supplier_Beta,V8_Coyote,2025
1FAHP3EKHDJ918785,2023-06-26,MAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3UHCHR839822,2024-06-01,DTP,Supplier_Beta,I4_Hybrid,2023
1FAHP3ZDDIG397187,2023-08-03,OHAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3RZTUB679087,2024-01-04,MAP,Supplier_Beta,V6_EcoBoost,2024
1FAHP3CBWSE640391,2024-01-30,KCAP,Supplier_Beta,V8_Coyote,2025
1FAHP3ALXIX801704,2024-05-06,OHAP,Supplier_Alpha,I4_Hybrid,2025
1FAHP3FRQII656766,2024-10-30,DTP,Gamma_Tech,V6_EcoBoost,2023
1FAHP3IUOAW512868,2023-10-05,KCAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3YOPDW047868,2024-03-11,KCAP,Supplier_Beta,V8_Coyote,2024
1FAHP3NXBPN243106,2023-08-08,KCAP,Gamma_Tech,V8_Coyote,2024
1FAHP3RTDPV119079,2024-07-04,OHAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3WXDIG067383,2023-10-27,DTP,Supplier_Alpha,I4_Hybrid,2024
1FAHP3XRUPT439599,2024-07-18,KCAP,Gamma_Tech,V8_Coyote,2023
1FAHP3DJLVL283644,2024-10-22,MAP,Supplier_Beta,V8_Coyote,2023
1FAHP3YHUSA687056,2024-11-28,KCAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3EPOTT624628,2024-06-29,KCAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3JHIYP270866,2024-10-17,OHAP,Supplier_Beta,V8_Coyote,2024
1FAHP3FIUMD435175,2023-02-19,OHAP,Supplier_Beta,I4_Hybrid,2025
1FAHP3MZWLU469901,2023-03-06,DTP,Supplier_Beta,I4_Hybrid,2023
1FAHP3ANMVH837354,2024-04-19,MAP,Gamma_Tech,V8_Coyote,2024
1FAHP3JUXSY739363,2024-02-29,OHAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3GFDGZ785445,2024-08-06,KCAP,Supplier_Alpha,I4_Hybrid,2024
1FAHP3CKOVJ753556,2024-08-22,DTP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3SJMVO048996,2023-09-05,KCAP,Supplier_Alpha,I4_Hybrid,2024
1FAHP3QWFUP693785,2024-09-04,KCAP,Supplier_Beta,V8_Coyote,2024
1FAHP3UIFLI772522,2023-04-01,OHAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3AIOOE080100,2023-07-08,DTP,Supplier_Beta,V8_Coyote,2023
1FAHP3DNOQN203875,2024-07-15,MAP,Supplier_Beta,I4_Hybrid,2024
1FAHP3AABHU770088,2023-05-23,MAP,Gamma_Tech,V8_Coyote,2025
1FAHP3ZLGGH484086,2024-12-03,OHAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3WRYZF233984,2024-07-15,OHAP,Gamma_Tech,V8_Coyote,2023
1FAHP3TRFPP567933,2023-10-17,DTP,Supplier_Alpha,V8_Coyote,2025
1FAHP3EDOAS016668,2024-06-06,MAP,Gamma_Tech,V6_EcoBoost,2023
1FAHP3GHCON217659,2023-08-08,MAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3IKQCL974014,2022-12-16,MAP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3ETKKP503926,2023-04-21,KCAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3YSUFG968562,2024-09-06,MAP,Supplier_Alpha,V8_Coyote,2023
1FAHP3VMXNM501631,2023-12-28,KCAP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3OWJYB650477,2022-12-13,DTP,Supplier_Beta,I4_Hybrid,2023
1FAHP3ZPTEF296194,2023-02-25,KCAP,Supplier_Beta,V8_Coyote,2025
1FAHP3XGFAT426265,2023-02-04,DTP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3LBCJJ754121,2024-08-03,MAP,Supplier_Beta,V8_Coyote,2023
1FAHP3JFMMY861015,2024-06-04,MAP,Supplier_Beta,V8_Coyote,2025
1FAHP3XFUJP560466,2023-11-01,DTP,Supplier_Alpha,V8_Coyote,2023
1FAHP3RTRFJ982622,2024-01-23,OHAP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3EYEXQ126464,2023-10-31,DTP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3GITAZ379937,2024-05-03,OHAP,Gamma_Tech,I4_Hybrid,2024
1FAHP3BPMIT596575,2023-07-23,KCAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3ZUSVS593752,2024-07-03,KCAP,Supplier_Beta,V8_Coyote,2024
1FAHP3YZXHK793564,2023-11-11,KCAP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3UDTNC398280,2023-04-23,MAP,Gamma_Tech,V6_EcoBoost,2023
1FAHP3PQQJT416724,2023-04-28,KCAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3LZIGS661797,2023-09-29,OHAP,Supplier_Beta,V8_Coyote,2023
1FAHP3OFGXP680589,2023-05-05,KCAP,Supplier_Beta,V6_EcoBoost,2023
1FAHP3WVYBG529096,2024-06-10,DTP,Supplier_Beta,V8_Coyote,2024
1FAHP3JLSKO014388,2023-03-26,DTP,Supplier_Alpha,V6_EcoBoost,2024
1FAHP3JWBEG756798,2023-05-14,MAP,Gamma_Tech,I4_Hybrid,2024
